,Genus,Order,Family,MassSource,Massg,LogMass,LargeSmall,Diet,DietSource
380,Sciurus,Rodentia,Sciuridae,Phylacine,599.35,2.77768051,Small,Herbivore,Phylacine
381,Scotomanes,Chiroptera,Vespertilionidae,Phylacine,25,1.397940009,Small,Non-Herbivore,Phylacine
382,Semnopithecus,Primates,Cercopithecidae,Phylacine,14835.71429,4.171308461,Large,Herbivore,Phylacine
383,Sericolagus,Lagomorpha,Leporidae,Family average,2069.12381,3.315786478,Large,Herbivore,Phylacine
384,Shikamainosorex,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,comparable to Sorex
385,Sicista,Rodentia,Dipodidae,Phylacine,8.892307692,0.949014482,Small,Herbivore,Phylacine
386,Sinocricetus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
387,Sinomastodon,Proboscidea,Gomphotheriidae,Family average,5855000,6.767526899,Large,Herbivore,Phylacine
388,Sinomegaceros,Cetartiodactyla,Cervidae,Phylacine,363887.85,5.560967555,Large,Herbivore,Phylacine
389,Sinoreas,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
390,Sinoryx,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
391,Sinotherium,Perissodactyla,Rhinocerotidae,Family average,2457350.889,6.390467175,Large,Herbivore,Phylacine
392,Sivapanthera,Carnivora,Felidae,Family average,52902.55652,4.72347666,Large,Non-Herbivore,GroupAv
393,Sivatherium,Artiodactyla,Giraffidae,Family average,564997.95,5.752046872,Large,Herbivore,GroupAv
394,Soergelia,Cetartiodactyla,Bovidae,Phylacine,225000,5.352182518,Large,Herbivore,Phylacine
395,Sorex,Eulipotyphla,Soricidae,Phylacine,6.687179487,0.82524298,Small,Non-Herbivore,Phylacine
396,Soricella,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,comparable to Sorex
397,Soriculus,Eulipotyphla,Soricidae,Phylacine,14,1.146128036,Small,Non-Herbivore,Phylacine
398,Spalax,Rodentia,Spalacidae,Phylacine,344.0444444,2.536614549,Small,Herbivore,Phylacine
399,Spelaeomys,Rodentia,Muridae,Phylacine,870,2.939519253,Small,Herbivore,Phylacine
400,Spermophilinus,Rodentia,Sciuridae,Family average,618.4478571,2.791303089,Small,Herbivore,Phylacine
401,Spermophilus,Rodentia,Sciuridae,Phylacine,351.2066667,2.545562751,Small,Herbivore,Phylacine
402,Spirocerus,Cetartiodactyla,Bovidae,Phylacine,790678.6,5.897999985,Large,Herbivore,Phylacine
403,Stegodon,Proboscidea,Stegodontidae,Phylacine,1788420.767,6.252469704,Large,Herbivore,Phylacine
404,Stegolophodon,Proboscidea,Stegodontidae,Family average,1788420.767,6.252469704,Large,Herbivore,Phylacine
405,Stephanomys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
406,Stephanorhinus,Perissodactyla,Rhinocerotidae,Phylacine,3287054.4,6.516806892,Large,Herbivore,Phylacine
407,Sulimskia,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,comparable to Sorex
408,Suncus,Eulipotyphla,Soricidae,Phylacine,10.52631579,1.022276395,Small,Non-Herbivore,Phylacine
409,Sundasciurus,Rodentia,Sciuridae,Phylacine,200.3133333,2.301709858,Small,Herbivore,Phylacine
410,Sus,Cetartiodactyla,Suidae,Phylacine,63653.36,4.803821333,Large,Non-Herbivore,Phylacine
411,Synaptomys,Rodentia,Cricetidae,Phylacine,26.6,1.424881637,Small,Herbivore,Phylacine
412,Szechuanopithecus,Primates,Cercopithecidae,Family average,8486.364179,3.928721665,Large,NA,NA
413,Tadarida,Chiroptera,Molossidae,Phylacine,26.4125,1.42180951,Small,Non-Herbivore,Phylacine
414,Talpa,Eulipotyphla,Talpidae,Phylacine,80.33333333,1.904895788,Small,Non-Herbivore,Phylacine
416,Tamias,Rodentia,Sciuridae,Phylacine,111.9,2.048830087,Small,Non-Herbivore,Phylacine
417,Tamiops,Rodentia,Sciuridae,Phylacine,66.7,1.824125834,Small,Herbivore,Phylacine
418,Tapirus,Perissodactyla,Tapiridae,Phylacine,290955.075,5.463825937,Large,Herbivore,Phylacine
419,Tatera,Rodentia,Muridae,Phylacine,166.3,2.220892249,Small,Herbivore,Phylacine
420,Terricola,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
421,Tetraceros,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
422,Theropithecus,Primates,Cercopithecidae,Cooke,56524.91399,4.75223991,Large,Herbivore,Phylacine
423,Trachypithecus,Primates,Cercopithecidae,Phylacine,9226.6625,3.965044635,Large,Herbivore,Phylacine
424,Tragelaphus,Cetartiodactyla,Bovidae,Phylacine,255213.7778,5.406904116,Large,Herbivore,Phylacine
425,Tragulus,Cetartiodactyla,Tragulidae,Phylacine,2480.716667,3.394577165,Large,Herbivore,Phylacine
426,Trifurcatoceros,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
427,Trilophomys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
428,Trischizolagus,Lagomorpha,Leporidae,Family average,2069.12381,3.315786478,Large,Herbivore,Phylacine
429,Trogontherium,Rodentia,Castoridae,MOM,39994,4.601994842,Large,Herbivore,Phylacine
430,Trogopterus,Rodentia,Sciuridae,Phylacine,744.9,2.872097974,Small,Herbivore,Phylacine
431,Tupaia,Scandentia,Tupaiidae,Phylacine,170.7866667,2.232453962,Small,Non-Herbivore,Phylacine
432,Typhlomys,Rodentia,Platacanthomyidae,Phylacine,24.5,1.389166084,Small,Herbivore,Phylacine
433,Tyrrhenicola,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
434,Ungaromys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
435,Uropsilus,Eulipotyphla,Talpidae,Phylacine,17.125,1.23363058,Small,Non-Herbivore,Phylacine
436,Urotrichus,Eulipotyphla,Talpidae,Phylacine,45,1.653212514,Small,Non-Herbivore,Phylacine
437,Ursus,Carnivora,Ursidae,Cooke,134040.2204,5.127235133,Large,Non-Herbivore,Phylacine
438,Vandeleuria,Rodentia,Muridae,Phylacine,28.83333333,1.459894853,Small,Herbivore,Phylacine
439,Vernaya,Rodentia,Muridae,Phylacine,24.9,1.396199347,Small,Herbivore,Phylacine
440,Vespertiliavus,Chiroptera,Emballonuridae,Family average,17.86792453,1.252074109,Small,Non-Herbivore,GroupAv
441,Vespertilio,Chiroptera,Vespertilionidae,Phylacine,21.6,1.334453751,Small,Non-Herbivore,Phylacine
442,Victoriamys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
443,Villanyia,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
444,Viverra,Carnivora,Viverridae,Phylacine,9607.2,3.982596832,Large,Non-Herbivore,Phylacine
445,Viverravus,Carnivora,Viverravidae,Cooke,661.6850858,2.820651346,Small,Non-Herbivore,GroupAv
446,Viverricula,Carnivora,Viverridae,Phylacine,2908.4,3.463654136,Large,Non-Herbivore,Phylacine
447,Vormela,Carnivora,Mustelidae,Phylacine,450.4,2.653598382,Small,Non-Herbivore,Phylacine
448,Vulpes,Carnivora,Canidae,Phylacine,2934.691667,3.467562479,Large,Non-Herbivore,Phylacine
449,Wushanomys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
450,Xenocyon,Carnivora,Canidae,Cooke,47598.25397,4.677591022,Large,Non-Herbivore,GroupAv
451,Yangia,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,NA,NA
452,Zygolophodon,Proboscidea,Mammutidae,Cooke,2958012.476,6.471000001,Large,Herbivore,Phylacine
132,Estramomys,Rodentia,Eomyidae,Family average,NA,NA,Small,Herbivore,Comparable to Geomydiae and Heteromyidae
162,Heterosorex,Eulipotyphla,Heterosoricidae,Family average,NA,NA,Small,Non-Herbivore,Most common diet of modern Soricidae
234,Merycopotamus,Artiodactyla,Anthracotheriidae,Family average,NA,NA,Large,Herbivore,GroupAv
415,Talpavus,Eulipotyphla,Litocheridae,Family average,NA,NA,Small,Non-Herbivore,GroupAv
