,Genus,Order,Family,MassSource,Massg,LogMass,LargeSmall,Diet,DietSource
191,Kolpochoerus,Cetartiodactyla,Suidae,Phylacine,264541.8,5.422494304,Large,NA,NA
192,Komodomys,Rodentia,Muridae,Phylacine,115,2.06069784,Small,NA,NA
193,Kowalskia,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
194,Lagurodon,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
195,Lagurus,Rodentia,Cricetidae,Phylacine,20.3,1.307496038,Small,Herbivore,Phylacine
196,Lasiopodomys,Rodentia,Cricetidae,Phylacine,65.2,1.814247596,Small,Herbivore,Phylacine
197,Lemmus,Rodentia,Cricetidae,Phylacine,56.92,1.755264891,Small,Herbivore,Phylacine
198,Leopoldamys,Rodentia,Muridae,Phylacine,363.3,2.560265398,Small,Herbivore,Phylacine
199,Leptobos,Artiodactyla,Bovidae,Cooke,307799.455,5.488267847,Large,Herbivore,Phylacine
200,Lepus,Lagomorpha,Leporidae,Phylacine,2570.0625,3.409943685,Large,Herbivore,Phylacine
201,Leukaristomys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
202,Libralces,Artiodactyla,Cervidae,Cooke,412097.5203,5.615000001,Large,Herbivore,Phylacine
203,Lophocricetus,Rodentia,Dipodidae,Family average,51.18235294,1.709120247,Small,Herbivore,Phylacine
204,Lufengpithecus,Primates,Hominidae,Family average,68227.51,4.833959522,Large,Herbivore,Phylacine
205,Lunanosorex,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,comparable to Sorex
206,Lutra,Carnivora,Mustelidae,Phylacine,7142.55,3.853853289,Large,Non-Herbivore,Phylacine
207,Lutrogale,Carnivora,Mustelidae,Phylacine,9483.3,3.976959489,Large,Non-Herbivore,Phylacine
208,Lycaon,Carnivora,Canidae,Phylacine,22050.1,4.343410563,Large,Non-Herbivore,Phylacine
209,Lynx,Carnivora,Felidae,Phylacine,11406.825,4.057164779,Large,Non-Herbivore,Phylacine
210,Macaca,Primates,Cercopithecidae,Phylacine,7260.804545,3.860984746,Large,Herbivore,Phylacine
211,Machairodus,Carnivora,Felidae,Cooke,159892.9938,5.203829434,Large,Non-Herbivore,GroupAv
212,Macroneomys,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,Parfitt and Harrison 2011
213,Macrotragus,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
214,Mafia,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,comparable to Sorex
215,Mammuthus,Proboscidea,Elephantidae,Cooke,7301522.094,6.863413404,Large,Herbivore,Phylacine
216,Manis,Pholidota,Manidae,Phylacine,12946.46,4.112151034,Large,Non-Herbivore,Phylacine
217,Marmota,Rodentia,Sciuridae,Phylacine,4964.05,3.695836147,Large,Herbivore,Phylacine
218,Martes,Carnivora,Mustelidae,Phylacine,1763.2875,3.246323129,Small,Non-Herbivore,Phylacine
219,Maxomys,Rodentia,Muridae,Phylacine,122.8,2.089198367,Small,NA,NA
220,Mececyon,Carnivora,Canidae,Family average,10973.62439,4.040350091,Large,Non-Herbivore,GroupAv
221,Megaceroides,Cetartiodactyla,Cervidae,Phylacine,8e+05,5.903089987,Large,Herbivore,Phylacine
222,Megaceros,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
223,Megaderma,Chiroptera,Megadermatidae,Phylacine,35.45,1.54961624,Small,Non-Herbivore,Phylacine
224,Megalenhydris,Carnivora,Mustelidae,Family average,4714.521875,3.673437655,Large,Non-Herbivore,Willemsen 1992
225,Megaloceros,Cetartiodactyla,Cervidae,Cooke,610446.7253,5.785647768,Large,Herbivore,Phylacine
226,Megalovis,Cetartiodactyla,Bovidae,Phylacine,76190.4,4.881900254,Large,Herbivore,Phylacine
227,Megantereon,Carnivora,Felidae,Cooke,60980.34613,4.785189885,Large,Non-Herbivore,GroupAv
228,Megatapirus,Perissodactyla,Tapiridae,NOW,664166,5.822276639,Large,Herbivore,GroupAv
229,Meles,Carnivora,Mustelidae,Phylacine,10250,4.010723865,Large,Non-Herbivore,Phylacine
230,Melogale,Carnivora,Mustelidae,Phylacine,1513.62,3.180016858,Small,Non-Herbivore,Phylacine
231,Melursus,Carnivora,Ursidae,Phylacine,93130,4.969089603,Large,Non-Herbivore,Phylacine
232,Menetes,Rodentia,Sciuridae,Phylacine,190,2.278753601,Small,Herbivore,Phylacine
233,Meriones,Rodentia,Muridae,Phylacine,101.5823529,2.006818268,Small,Herbivore,Phylacine
235,Mesocricetus,Rodentia,Cricetidae,Phylacine,199.9,2.300812794,Small,Herbivore,Phylacine
236,Mesosiphneus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
237,Metacervocerus,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
238,Metacervulus,Artiodactyla,Cervidae,Cooke,38194.42723,4.582000002,Large,Herbivore,Phylacine
239,Metailurus,Carnivora,Felidae,Cooke,59001.18261,4.770860717,Large,Non-Herbivore,GroupAv
240,Micromys,Rodentia,Muridae,Phylacine,6,0.77815125,Small,Herbivore,Phylacine
241,Microtus,Rodentia,Cricetidae,Phylacine,39.96363636,1.601664999,Small,Herbivore,Phylacine
242,Millardia,Rodentia,Muridae,Phylacine,85.2,1.930439595,Small,Herbivore,Phylacine
243,Mimomys,Rodentia,Muridae,Cooke,80.08415071,1.903546574,Small,Herbivore,Phylacine
244,Miniopterus,Chiroptera,Miniopteridae,Phylacine,8.92173913,0.95044952,Small,Non-Herbivore,Phylacine
245,Mitilanotherium,Artiodactyla,Giraffidae,Family average,564997.95,5.752046872,Large,Herbivore,GroupAv
246,Mogera,Eulipotyphla,Talpidae,Phylacine,128.9285714,2.11034917,Small,Non-Herbivore,Phylacine
247,Monosaulax,Rodentia,Castoridae,Cooke,576.5842724,2.760862792,Small,Herbivore,Phylacine
248,Moschus,Cetartiodactyla,Moschidae,Phylacine,12485.71429,4.096413393,Large,Herbivore,Phylacine
249,Muntiacus,Cetartiodactyla,Cervidae,Phylacine,19566.675,4.291517031,Large,Herbivore,Phylacine
250,Murina,Chiroptera,Vespertilionidae,Phylacine,6.1375,0.787991505,Small,Non-Herbivore,Phylacine
251,Mus,Rodentia,Muridae,Phylacine,15.12820513,1.179787405,Small,Herbivore,Phylacine
252,Muscardinus,Rodentia,Gliridae,Phylacine,27.5,1.439332694,Small,Herbivore,Phylacine
253,Mustela,Carnivora,Mustelidae,Phylacine,480.8526316,2.682011997,Small,Non-Herbivore,Phylacine
254,Mustelavus,Carnivora,Mustelidae,Family average,4714.521875,3.673437655,Large,Non-Herbivore,GroupAv
255,Muva,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
256,Myomimus,Rodentia,Gliridae,Phylacine,26.5,1.423245874,Small,Herbivore,Phylacine
257,Myopus,Rodentia,Cricetidae,Phylacine,25,1.397940009,Small,Herbivore,Phylacine
258,Myosorex,Eulipotyphla,Soricidae,Phylacine,12.78823529,1.106810618,Small,Non-Herbivore,Phylacine
259,Myospalax,Rodentia,Spalacidae,Phylacine,280.8333333,2.448448655,Small,Herbivore,Phylacine
260,Myotis,Chiroptera,Vespertilionidae,Phylacine,8.514563107,0.930162369,Small,Non-Herbivore,Phylacine
261,Myotragus,Cetartiodactyla,Bovidae,Phylacine,26418,4.421899936,Large,Herbivore,Phylacine
262,Naemorhedus,Cetartiodactyla,Bovidae,Phylacine,26996.875,4.431313496,Large,Herbivore,Phylacine
263,Nannocricetus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
264,Neofelis,Carnivora,Felidae,Phylacine,20500,4.311753861,Large,Non-Herbivore,Phylacine
265,Neomys,Eulipotyphla,Soricidae,Phylacine,14.4,1.158362492,Small,Non-Herbivore,Phylacine
266,Neotetracus,Eulipotyphla,Erinaceidae,Phylacine,86.9,1.939019776,Small,Non-Herbivore,Phylacine
